Lunghezze dei paths tokenizzati con 'asmtokenizer' - con registry normalization:

1a ===> senza registry normalization, senza splittare le stringhe (sbagliato)
2a ===> con registry normalization, splittando le stringhe (qui solo nomi di funzioni, poco indicativo)
3a ===> no registry normalization, no 'asmtokenizer' ma BERTTokenizer

<<<<<<< HEAD

1a | 2a | 3a

38 - 41 - 134
31 - 37 - 122
78 - 91 - 254
43 - 47 - 142
59 - 65 - 196
120 - 139 - 378
101 - 113 - 320
36 - 43 - 130
52 - 61 - 184
57 - 67 - 192
80 - 89 - 258
73 - 85 - 246
